,,city_unmarried_m/f,rural_unmarried_m/f,city_baby_m/f,rural_baby_m/f,total_city/rural
北????京,Beijing Municipality,117.29,142.14,112.4814264,109.73,0.859594925
天????津,Tianjin Municipality,123.41,143.55,115.1286449,113.12,0.794353263
河????北,Hebei Province,111.41,137.33,118.6485689,118.75,0.439436019
山????西,Shanxi Province,113.38,151.81,114.664051,111.80,0.480524487
内?蒙?古,Inner Mongolia Autonomous Region,126.82,172.33,105.3984101,113.41,0.555331191
辽????宁,Liaoning Province,121.13,154.88,110.9881296,115.37,0.621491388
吉????林,Jilin Province,120.48,143.14,112.8357277,117.93,0.533577303
黑?龙?江,Heilongjiang Province,122.72,140.52,112.8624689,117.30,0.556551652
上????海,Shanghai Municipality,126.31,154.40,112.7557684,100.85,0.892954645
江????苏,Jiangsu Province,122.21,139.98,120.4324324,122.70,0.602223764
浙????江,Zhejiang Province,130.29,178.55,117.3758091,120.28,0.616427071
安????徽,Anhui Province,126.17,140.16,121.8780148,136.88,0.429864131
福????建,Fujian Province,125.50,149.04,124.0574929,127.78,0.57087375
江????西,Jiangxi Province,128.55,146.80,124.789272,130.51,0.437534752
山????东,Shandong Province,117.35,135.54,121.2262038,127.03,0.497122615
河????南,Henan Province,114.11,130.32,125.5103468,128.79,0.385193986
湖????北,Hubei Province,129.65,154.02,124.3923865,123.60,0.496963917
湖????南,Huban Province,126.50,159.88,123.4335201,127.35,0.433070518
广????东,Guangdong Province,129.44,133.47,130.6498654,127.38,0.66171349
广????西,Guangxi Zhuang Autonomous Region,132.43,180.27,125.8713579,119.84,0.40018118
海????南,Hainan Province,128.67,173.21,131.1560394,128.13,0.496860226
重????庆,Chongqing Municipality,124.56,175.28,110.7271997,117.53,0.530254207
四????川,Sichuan Province,122.15,160.38,112.9900232,112.97,0.402206196
贵????州,Guizhou Province,130.31,171.06,126.3218171,126.14,0.33778477
云????南,Yunnan Province,128.91,187.84,112.7095176,113.99,0.347187183
西????藏,Tibet Autonomous Region,118.43,123.70,116.0493827,96.35,0.226699399
陕????西,Shaanxi Province,121.17,151.30,114.5313554,117.26,0.457019417
甘????肃,Gansu Province,120.62,138.63,125.958014,124.35,0.359377927
青????海,Qinghai Province,131.56,153.33,112.7952756,112.63,0.447197063
宁????夏,Ningxia Hui Autonomous Region,120.00,140.35,113.2075472,115.17,0.479583264
新????疆,Xinjiang Uyghur Autonomous Region,125.41,151.75,106.4099498,105.18,0.427935055
